text,Confirmation Bias,Overgeneralization,Stereotyping,Emotional Reasoning,False Dilemma,Catastrophizing,Hasty Generalization,Black-and-White Thinking
Men are naturally more aggressive than women.,0,0,1,0,0,0,0,0
Women are more nurturing and caring than men.,0,0,1,0,0,0,0,0
Only men can work in construction.,0,0,1,0,0,0,0,0
Women are too emotional to be lawyers.,0,0,1,0,0,0,0,0
Men are better at math and science.,0,0,1,0,0,0,0,0
Women are more likely to be teachers or nurses.,0,0,1,0,0,0,0,0
Men don't know how to express their feelings.,0,0,1,0,0,0,0,0
Women are too sensitive to be politicians.,0,0,1,0,0,0,0,0
Men are more competitive than women.,0,0,1,0,0,0,0,0
Women are better at multitasking than men.,0,0,1,0,0,0,0,0
Men are naturally more dominant than women.,0,0,1,0,0,0,0,0
Women are more interested in fashion and beauty.,0,0,1,0,0,0,0,0
Men are better at sports than women.,0,0,1,0,0,0,0,0
Women are too indecisive to be leaders.,0,0,1,0,0,0,0,0
Men don't like to ask for directions.,0,0,1,0,0,0,0,0
Women are more talkative than men.,0,0,1,0,0,0,0,0
Men are more logical and rational than women.,0,0,1,0,0,0,0,0
Women are more interested in relationships than men.,0,0,1,0,0,0,0,0
Men are more likely to be entrepreneurs.,0,0,1,0,0,0,0,0
Women are too emotional to be surgeons.,0,0,1,0,0,0,0,0
Men are better at managing finances.,0,0,1,0,0,0,0,0
Women are more creative and artistic.,0,0,1,0,0,0,0,0
Men are more likely to be engineers or technicians.,0,0,1,0,0,0,0,0
Women are too weak to work in physically demanding jobs.,0,0,1,0,0,0,0,0
Men are more aggressive and violent.,0,0,1,0,0,0,0,0
Women are more interested in cooking and cleaning.,0,0,1,0,0,0,0,0
Men are better at problem-solving.,0,0,1,0,0,0,0,0
Women are too dependent on men.,0,0,1,0,0,0,0,0
Men are more self-sufficient and independent.,0,0,1,0,0,0,0,0
Women are more likely to be stay-at-home parents.,0,0,1,0,0,0,0,0
Men are more ambitious and driven.,0,0,1,0,0,0,0,0
Women are too passive and submissive.,0,0,1,0,0,0,0,0
Men are more likely to take risks.,0,0,1,0,0,0,0,0
Women are more cautious and risk-averse.,0,0,1,0,0,0,0,0
Men are better at handling conflict and competition.,0,0,1,0,0,0,0,0
Women are more likely to avoid conflict and seek harmony.,0,0,1,0,0,0,0,0
Men are more interested in politics and current events.,0,0,1,0,0,0,0,0
Women are more interested in gossip and social media.,0,0,1,0,0,0,0,0
Men are more likely to be in positions of power.,0,0,1,0,0,0,0,0
Women are more likely to be in support roles.,0,0,1,0,0,0,0,0
Men are more confident and self-assured.,0,0,1,0,0,0,0,0
Women are more humble and modest.,0,0,1,0,0,0,0,0
Asians are naturally good at math.,0,0,1,0,0,0,0,0
All African Americans are great athletes.,0,0,1,0,0,0,0,0
Hispanics are known for their love of spicy food.,0,0,1,0,0,0,0,0
Indians are always good at technology.,0,0,1,0,0,0,0,0
Caucasians are better at swimming than other races.,0,0,1,0,0,0,0,0
Arabs are wealthy due to oil money.,0,0,1,0,0,0,0,0
Jews are good with money and business.,0,0,1,0,0,0,0,0
Italians are excellent cooks and love pasta.,0,0,1,0,0,0,0,0
Germans are strict and punctual.,0,0,1,0,0,0,0,0
African Americans are naturally good dancers.,0,0,1,0,0,0,0,0
Chinese people are very good at martial arts.,0,0,1,0,0,0,0,0
Japanese people are polite and respectful.,0,0,1,0,0,0,0,0
"Mexicans are hard workers, especially in farming.",0,0,1,0,0,0,0,0
Koreans are highly competitive and driven.,0,0,1,0,0,0,0,0
Russians are rugged and cold-resistant.,0,0,1,0,0,0,0,0
Irish people love to drink and party.,0,0,1,0,0,0,0,0
French people are romantic and fashionable.,0,0,1,0,0,0,0,0
Spanish people are passionate and expressive.,0,0,1,0,0,0,0,0
Greeks are skilled in philosophy and logic.,0,0,1,0,0,0,0,0
